CIN,BORROWER_NAME,LENDER_NAME,SECURITY_TYPE,ASSET_DESCRIPTION,CHARGE_AMOUNT,CHARGE_REGISTRATION_DATE
U54270272014PTC573897,Krishna Chemicals Trading Co Pvt Ltd,ICICI Bank,hypothecation,Inventory - Krishna Chemicals Trading Co Pvt Ltd,1200000,2018-10-16
U39647292023PTC544677,Vardhman Pharma Pvt Ltd,Punjab National Bank,hypothecation,Land & Building - Vardhman Pharma Pvt Ltd,2000000,2025-05-29
U18966292009PTC556279,Saraswati Chemicals Industries Pvt Ltd,Punjab National Bank,pledge,Inventory - Saraswati Chemicals Industries Pvt Ltd,3000000,2011-07-09
U67342072014PTC765417,Pioneer Logistics Pvt Ltd,Bank of Baroda,pledge,Plant & Machinery - Pioneer Logistics Pvt Ltd,1200000,2017-07-14
U43980242021PTC175074,Elite Chemicals Exports Pvt Ltd,Axis Bank,pledge,Land & Building - Elite Chemicals Exports Pvt Ltd,500000,2024-12-21
U30618292016PTC267509,Shakti Steel Trading Co Pvt Ltd,State Bank of India,pledge,Inventory - Shakti Steel Trading Co Pvt Ltd,3000000,2017-08-10
U24283292023PTC162960,Jai Chemicals Industries Pvt Ltd,Bank of Baroda,pledge,Land & Building - Jai Chemicals Industries Pvt Ltd,500000,2024-12-15
U50508082022PTC184085,Vishwa Textiles Pvt Ltd,Indian Overseas Bank,pledge,Plant & Machinery - Vishwa Textiles Pvt Ltd,500000,2025-12-18
U12631272014PTC334199,Prime Steel Pvt Ltd,ICICI Bank,hypothecation,Plant & Machinery - Prime Steel Pvt Ltd,500000,2016-08-12
U21945082013PTC673046,Sagar Agro Private Limited,Punjab National Bank,hypothecation,Inventory - Sagar Agro Private Limited,2000000,2016-09-16
U21406272007PTC406952,Sagar Agro Trading Co Pvt Ltd,Indian Overseas Bank,pledge,Inventory - Sagar Agro Trading Co Pvt Ltd,500000,2008-07-17
U89736192013PTC844194,Metro Foods Exports Pvt Ltd,IDBI Bank,pledge,Land & Building - Metro Foods Exports Pvt Ltd,2000000,2015-06-14
U54077082007PTC289914,Saraswati Traders Ventures Pvt Ltd,Axis Bank,mortgage,Land & Building - Saraswati Traders Ventures Pvt Ltd,3000000,2010-05-29
U84978272023PTC855654,Universal Traders Exports Pvt Ltd,IDBI Bank,hypothecation,Land & Building - Universal Traders Exports Pvt Ltd,500000,2026-10-07
U33995332022PTC992922,Vardhman Traders Exports Pvt Ltd,State Bank of India,pledge,Inventory - Vardhman Traders Exports Pvt Ltd,500000,2025-04-30
U91675332022PTC050948,Laxmi Textiles Exports Pvt Ltd,State Bank of India,mortgage,Land & Building - Laxmi Textiles Exports Pvt Ltd,500000,2025-12-18
U72014092024PTC751471,Golden Steel Pvt Ltd,Bank of Baroda,pledge,Inventory - Golden Steel Pvt Ltd,3000000,2025-02-04
U82559242015PTC663312,Universal Logistics Private Limited,HDFC Bank,pledge,Land & Building - Universal Logistics Private Limited,3000000,2019-05-31
U19600272007PTC056905,National Infrastructure Trading Co Pvt Ltd,State Bank of India,pledge,Inventory - National Infrastructure Trading Co Pvt Ltd,500000,2010-10-19
U75907072016PTC111292,Metro Constructions Enterprises Pvt Ltd,ICICI Bank,pledge,Land & Building - Metro Constructions Enterprises Pvt Ltd,1200000,2018-04-25
U68373082019PTC376168,Shakti Infrastructure Industries Pvt Ltd,State Bank of India,pledge,Inventory - Shakti Infrastructure Industries Pvt Ltd,500000,2022-09-22
U96858242005PTC250485,Pioneer Electronics Exports Pvt Ltd,Axis Bank,hypothecation,Plant & Machinery - Pioneer Electronics Exports Pvt Ltd,2000000,2007-07-09
U57880242017PTC616226,Prime Agro Private Limited,Punjab National Bank,pledge,Inventory - Prime Agro Private Limited,2000000,2018-12-02
U24230242009PTC017368,Universal Plastics Ventures Pvt Ltd,Axis Bank,pledge,Plant & Machinery - Universal Plastics Ventures Pvt Ltd,500000,2013-08-14
U36170192020PTC246270,Aditya Logistics Ventures Pvt Ltd,IDBI Bank,hypothecation,Land & Building - Aditya Logistics Ventures Pvt Ltd,2000000,2023-12-29
U57962092015PTC192848,Vishwa Agro Private Limited,Union Bank of India,hypothecation,Inventory - Vishwa Agro Private Limited,3000000,2017-10-29
U11276292020PTC185187,Silver Pharma Private Limited,Bank of Baroda,hypothecation,Plant & Machinery - Silver Pharma Private Limited,2000000,2023-08-25
U17055082022PTC027646,Shakti Agro Trading Co Pvt Ltd,IDBI Bank,hypothecation,Plant & Machinery - Shakti Agro Trading Co Pvt Ltd,500000,2026-01-27
U65343332007PTC655699,Global Plastics Ventures Pvt Ltd,Punjab National Bank,pledge,Land & Building - Global Plastics Ventures Pvt Ltd,3000000,2009-08-17
U70776082016PTC730790,Vishal Textiles Enterprises Pvt Ltd,Canara Bank,mortgage,Land & Building - Vishal Textiles Enterprises Pvt Ltd,1200000,2016-06-15
U58679092009PTC808240,Om Logistics Private Limited,IDBI Bank,hypothecation,Plant & Machinery - Om Logistics Private Limited,3000000,2011-06-09
U57720272024PTC813713,Laxmi Logistics Enterprises Pvt Ltd,Punjab National Bank,hypothecation,Plant & Machinery - Laxmi Logistics Enterprises Pvt Ltd,1200000,2025-04-21
U20480192020PTC490796,Vishal Constructions Pvt Ltd,Union Bank of India,hypothecation,Plant & Machinery - Vishal Constructions Pvt Ltd,500000,2021-10-07
U34832242017PTC202501,Ganga Constructions Private Limited,Bank of Baroda,pledge,Land & Building - Ganga Constructions Private Limited,2000000,2021-02-21
U99659092022PTC838971,Universal Chemicals Enterprises Pvt Ltd,IDBI Bank,pledge,Plant & Machinery - Universal Chemicals Enterprises Pvt Ltd,1200000,2024-09-14
U77760092006PTC947573,Bharat Pharma Ventures Pvt Ltd,Axis Bank,pledge,Inventory - Bharat Pharma Ventures Pvt Ltd,1200000,2008-12-11
U18869272017PTC795285,Silver Plastics Pvt Ltd,Indian Overseas Bank,pledge,Inventory - Silver Plastics Pvt Ltd,500000,2020-02-17
U99848192023PTC347833,Vishal Traders Pvt Ltd,Union Bank of India,pledge,Land & Building - Vishal Traders Pvt Ltd,500000,2024-10-18
U40368082020PTC993472,Global Chemicals Ventures Pvt Ltd,Axis Bank,mortgage,Plant & Machinery - Global Chemicals Ventures Pvt Ltd,2000000,2022-08-25
U77757332019PTC082035,Ganga Electronics Pvt Ltd,HDFC Bank,pledge,Plant & Machinery - Ganga Electronics Pvt Ltd,3000000,2022-09-08
U53452082023PTC441468,Elite Infrastructure Enterprises Pvt Ltd,State Bank of India,pledge,Land & Building - Elite Infrastructure Enterprises Pvt Ltd,500000,2025-10-27
U81776292015PTC011092,Vardhman Textiles Ventures Pvt Ltd,Indian Overseas Bank,hypothecation,Plant & Machinery - Vardhman Textiles Ventures Pvt Ltd,1200000,2019-02-10
U80074072016PTC894795,Royal Steel Ventures Pvt Ltd,HDFC Bank,mortgage,Plant & Machinery - Royal Steel Ventures Pvt Ltd,3000000,2018-02-28
U37745242008PTC846310,Saraswati Constructions Trading Co Pvt Ltd,Indian Overseas Bank,hypothecation,Plant & Machinery - Saraswati Constructions Trading Co Pvt Ltd,1200000,2009-01-02
U22541072021PTC648986,Global Pharma Ventures Pvt Ltd,State Bank of India,hypothecation,Inventory - Global Pharma Ventures Pvt Ltd,2000000,2023-02-11
U20508082007PTC409661,Everest Chemicals Enterprises Pvt Ltd,HDFC Bank,mortgage,Land & Building - Everest Chemicals Enterprises Pvt Ltd,500000,2009-01-24
U79945242010PTC316209,Jai Textiles Industries Pvt Ltd,Indian Overseas Bank,pledge,Land & Building - Jai Textiles Industries Pvt Ltd,2000000,2011-06-27
U12955332011PTC087650,Sagar Pharma Exports Pvt Ltd,ICICI Bank,mortgage,Land & Building - Sagar Pharma Exports Pvt Ltd,2000000,2012-01-05
U67925272009PTC932946,Laxmi Plastics Ventures Pvt Ltd,Bank of Baroda,hypothecation,Land & Building - Laxmi Plastics Ventures Pvt Ltd,500000,2010-08-16
U39607092017PTC654912,Aditya Steel Exports Pvt Ltd,Union Bank of India,pledge,Land & Building - Aditya Steel Exports Pvt Ltd,3000000,2021-09-28
U11031082017PTC953984,Sunrise Infrastructure Enterprises Pvt Ltd,Axis Bank,mortgage,Inventory - Sunrise Infrastructure Enterprises Pvt Ltd,3000000,2019-06-17
U25533082020PTC235389,Pioneer Infrastructure Enterprises Pvt Ltd,Union Bank of India,mortgage,Plant & Machinery - Pioneer Infrastructure Enterprises Pvt Ltd,3000000,2022-02-23
U11352082007PTC491659,Bharat Traders Exports Pvt Ltd,Canara Bank,mortgage,Land & Building - Bharat Traders Exports Pvt Ltd,500000,2007-08-01
U67870082006PTC373839,Balaji Plastics Industries Pvt Ltd,IDBI Bank,mortgage,Inventory - Balaji Plastics Industries Pvt Ltd,1200000,2009-09-05
U49688092020PTC648544,Continental Electronics Enterprises Pvt Ltd,Canara Bank,hypothecation,Plant & Machinery - Continental Electronics Enterprises Pvt Ltd,3000000,2024-11-09
U40765082014PTC219607,Continental Plastics Pvt Ltd,IDBI Bank,mortgage,Plant & Machinery - Continental Plastics Pvt Ltd,500000,2015-01-13
U94394242019PTC215099,Everest Plastics Trading Co Pvt Ltd,HDFC Bank,mortgage,Inventory - Everest Plastics Trading Co Pvt Ltd,1200000,2022-10-21
U26662192021PTC508313,Balaji Pharma Private Limited,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Balaji Pharma Private Limited,2000000,2021-08-27
U72043192021PTC034192,Aditya Chemicals Trading Co Pvt Ltd,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Aditya Chemicals Trading Co Pvt Ltd,3500000,2021-07-15
U84942192021PTC303658,Jai Traders Enterprises Pvt Ltd,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Jai Traders Enterprises Pvt Ltd,3500000,2021-07-09
U87283192021PTC442245,Shri Infrastructure Enterprises Pvt Ltd,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Shri Infrastructure Enterprises Pvt Ltd,3500000,2021-07-06
U55698192021PTC070847,Pioneer Textiles Industries Pvt Ltd,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Pioneer Textiles Industries Pvt Ltd,5000000,2021-08-07
U59454192021PTC498313,Bharat Plastics Exports Pvt Ltd,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Bharat Plastics Exports Pvt Ltd,3500000,2021-07-19
U21706192021PTC838664,Silver Agro Private Limited,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Silver Agro Private Limited,2000000,2021-08-20
U68077192021PTC771661,Pioneer Chemicals Exports Pvt Ltd,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Pioneer Chemicals Exports Pvt Ltd,5000000,2021-07-22
U83537192021PTC676499,Jai Constructions Trading Co Pvt Ltd,Vardhman Cooperative Bank Ltd,hypothecation,Plant & Machinery - Jai Constructions Trading Co Pvt Ltd,5000000,2021-08-09
U12486272022PTC288320,Vishal Logistics Private Limited,Continental Urban Cooperative Bank,hypothecation,Plant & Machinery - Vishal Logistics Private Limited,2000000,2022-05-15
U51999272022PTC421316,Pioneer Textiles Enterprises Pvt Ltd,Continental Urban Cooperative Bank,hypothecation,Plant & Machinery - Pioneer Textiles Enterprises Pvt Ltd,2000000,2022-05-10
U60070272022PTC269671,Om Steel Pvt Ltd,Continental Urban Cooperative Bank,hypothecation,Plant & Machinery - Om Steel Pvt Ltd,2000000,2022-03-31
U43496272022PTC805626,Om Chemicals Enterprises Pvt Ltd,Continental Urban Cooperative Bank,hypothecation,Plant & Machinery - Om Chemicals Enterprises Pvt Ltd,2000000,2022-04-24
U52636272022PTC190273,Metro Agro Pvt Ltd,Continental Urban Cooperative Bank,hypothecation,Plant & Machinery - Metro Agro Pvt Ltd,3500000,2022-03-29
U59219272022PTC987316,Continental Steel Pvt Ltd,Continental Urban Cooperative Bank,hypothecation,Plant & Machinery - Continental Steel Pvt Ltd,3500000,2022-04-10
U18579242020PTC507691,Shree Agro Exports Pvt Ltd,Orion Multistate Cooperative Bank,hypothecation,Plant & Machinery - Shree Agro Exports Pvt Ltd,5000000,2021-01-15
U42285242020PTC800041,Sagar Constructions Ventures Pvt Ltd,Orion Multistate Cooperative Bank,hypothecation,Plant & Machinery - Sagar Constructions Ventures Pvt Ltd,3500000,2020-12-14
U36667242020PTC820911,National Logistics Trading Co Pvt Ltd,Orion Multistate Cooperative Bank,hypothecation,Plant & Machinery - National Logistics Trading Co Pvt Ltd,2000000,2020-12-11
U47912242020PTC684782,National Textiles Pvt Ltd,Orion Multistate Cooperative Bank,hypothecation,Plant & Machinery - National Textiles Pvt Ltd,5000000,2021-01-04
U37886242020PTC613584,Continental Plastics Enterprises Pvt Ltd,Orion Multistate Cooperative Bank,hypothecation,Plant & Machinery - Continental Plastics Enterprises Pvt Ltd,3500000,2020-12-13
