CIN,label
U65027272012PTC669990,normal
U57265072021PTC070967,normal
U15811272009PTC369413,normal
U51365192006PTC978711,normal
U54438082017PTC195893,normal
U68447332014PTC631895,normal
U97973272007PTC668481,normal
U60181272016PTC995589,normal
U13396192008PTC771412,normal
U18511272016PTC576714,normal
U82616272016PTC600077,normal
U82260272009PTC670873,normal
U47230272021PTC887026,normal
U15958272007PTC994624,normal
U69446242014PTC076518,normal
U71141272012PTC128474,normal
U71186082021PTC522988,normal
U80345082014PTC008575,normal
U69028242021PTC801536,normal
U77568292024PTC146571,normal
U53416272016PTC706538,normal
U32349092020PTC549698,normal
U75774192018PTC812618,normal
U56437272022PTC708700,normal
U51555192020PTC503111,normal
U83664242013PTC729989,normal
U99285082008PTC808207,normal
U80143092012PTC774569,normal
U35272082013PTC848103,normal
U62538272007PTC701766,normal
U95679272013PTC377018,normal
U30078292020PTC477080,normal
U18094092008PTC869033,normal
U69432082006PTC138354,normal
U14159072020PTC301037,normal
U95660242009PTC902076,normal
U70375192012PTC362975,normal
U40715242019PTC565980,normal
U82970332006PTC994596,normal
U49306242009PTC394748,normal
U43422242012PTC213215,normal
U12009272014PTC222097,normal
U44283272014PTC377115,normal
U59786272012PTC597468,normal
U81058082010PTC672986,normal
U90980272006PTC668707,normal
U79003192024PTC264680,normal
U72390242022PTC058841,normal
U45532092020PTC048824,normal
U49226242007PTC170342,normal
U89320072015PTC806361,normal
U21232092017PTC809677,normal
U66489072010PTC470647,normal
U49469292013PTC281445,normal
U27758082008PTC319458,normal
U51180192020PTC186267,normal
U81516192023PTC188668,normal
U96332192013PTC161631,normal
U42536072008PTC689546,normal
U86089242022PTC721069,normal
U28569072008PTC365250,normal
U54967072005PTC679446,normal
U93948292010PTC689238,normal
U79168332020PTC670154,normal
U41270272008PTC320215,normal
U31871292022PTC513427,normal
U64477242020PTC744639,normal
U76952082022PTC118711,normal
U14224192014PTC471579,normal
U17780192011PTC597767,normal
U42725292009PTC153348,normal
U77582072017PTC786225,normal
U54270272014PTC573897,normal
U95798332007PTC377944,normal
U39647292023PTC544677,normal
U18966292009PTC556279,normal
U42477272009PTC290422,normal
U61347242011PTC309899,normal
U65163242023PTC383163,normal
U65518242018PTC735902,normal
U67342072014PTC765417,normal
U43980242021PTC175074,normal
U30618292016PTC267509,normal
U45554242015PTC866121,normal
U52899332014PTC090582,normal
U10835192009PTC977690,normal
U36895332008PTC555551,normal
U87580242007PTC595404,normal
U24283292023PTC162960,normal
U21955272009PTC745703,normal
U11567292008PTC064665,normal
U22055082009PTC949044,normal
U46681292013PTC467677,normal
U94233242011PTC927626,normal
U51795292005PTC626122,normal
U85457272012PTC887625,normal
U50508082022PTC184085,normal
U96787072016PTC414813,normal
U50215292017PTC769650,normal
U53406082009PTC781550,normal
U16310072005PTC404685,normal
U12631272014PTC334199,normal
U82628192018PTC757112,normal
U48607242007PTC863919,normal
U21945082013PTC673046,normal
U82561092012PTC063947,normal
U98805242023PTC650404,normal
U21406272007PTC406952,normal
U80206072014PTC922890,normal
U16460272012PTC781976,normal
U45313082015PTC764202,normal
U78719242009PTC922048,normal
U41711072005PTC390560,normal
U38091292023PTC898747,normal
U89736192013PTC844194,normal
U54077082007PTC289914,normal
U84978272023PTC855654,normal
U33995332022PTC992922,normal
U99220242008PTC400210,normal
U93165292015PTC060832,normal
U60242242020PTC004896,normal
U23462332009PTC402182,normal
U34697082016PTC172893,normal
U91675332022PTC050948,normal
U27978092024PTC439171,normal
U31020242014PTC041320,normal
U23276242007PTC948730,normal
U22451242008PTC892597,normal
U62461072017PTC478716,normal
U98918082023PTC459448,normal
U85582272021PTC758932,normal
U17152242024PTC012211,normal
U20332242012PTC481396,normal
U89194272007PTC649138,normal
U72014092024PTC751471,normal
U25826192011PTC975403,normal
U76086082023PTC141177,normal
U76074092015PTC924205,normal
U82559242015PTC663312,normal
U65363242014PTC847569,normal
U69322272016PTC107459,normal
U17051272022PTC013596,normal
U68827192014PTC186045,normal
U30290272019PTC041881,normal
U18936292021PTC824452,normal
U72240092021PTC588603,normal
U43631072017PTC566480,normal
U10960242022PTC657387,normal
U19600272007PTC056905,normal
U75907072016PTC111292,normal
U82551272005PTC917260,normal
U31096242009PTC192931,normal
U35875332008PTC760836,normal
U57774092023PTC846935,normal
U68373082019PTC376168,normal
U14804092011PTC578389,normal
U96858242005PTC250485,normal
U57349192021PTC406946,normal
U57880242017PTC616226,normal
U88908292016PTC752147,normal
U87640292023PTC168957,normal
U73133092020PTC178853,normal
U24230242009PTC017368,normal
U58546242018PTC917320,normal
U88419072014PTC919357,normal
U23970242016PTC162298,normal
U58524082010PTC586253,normal
U90481272022PTC730918,normal
U14948072024PTC759688,normal
U77608092021PTC732378,normal
U21818272007PTC576290,normal
U23954242021PTC585767,normal
U99337272019PTC483101,normal
U11274242022PTC734862,normal
U36170192020PTC246270,normal
U74330092013PTC191756,normal
U51373242019PTC722690,normal
U57962092015PTC192848,normal
U11276292020PTC185187,normal
U53864072019PTC272388,normal
U52610332016PTC705894,normal
U19351092017PTC082955,normal
U31930082018PTC192819,normal
U17055082022PTC027646,normal
U71235272020PTC913204,normal
U39770082022PTC843798,normal
U49270082020PTC009577,normal
U65343332007PTC655699,normal
U52027082011PTC020338,normal
U70776082016PTC730790,normal
U97294072021PTC218573,normal
U97385272006PTC228368,normal
U58679092009PTC808240,normal
U67503242016PTC768805,normal
U81253092010PTC364553,normal
U57720272024PTC813713,normal
U22943082011PTC033363,normal
U20480192020PTC490796,normal
U34832242017PTC202501,normal
U56179092019PTC946325,normal
U68654272019PTC416380,normal
U77013332022PTC583348,normal
U84588092017PTC962469,normal
U20286092017PTC818018,normal
U52838092009PTC526807,normal
U20819292015PTC498970,normal
U35703242023PTC588427,normal
U87840272016PTC687248,normal
U17148072008PTC254855,normal
U73311332022PTC653307,normal
U16957092013PTC487547,normal
U51347242008PTC508206,normal
U55453292005PTC717553,normal
U60096292007PTC546013,normal
U99659092022PTC838971,normal
U51771292005PTC922886,normal
U40432192024PTC242130,normal
U39658292011PTC033796,normal
U89682242006PTC771052,normal
U80499192021PTC414829,normal
U77760092006PTC947573,normal
U26193272010PTC095621,normal
U84120292015PTC913630,normal
U70115332005PTC521801,normal
U92396332024PTC584633,normal
U64651272008PTC186907,normal
U18869272017PTC795285,normal
U65974092014PTC638420,normal
U25493192005PTC025152,normal
U18891332013PTC322723,normal
U72193272020PTC835982,normal
U99848192023PTC347833,normal
U58704082012PTC473859,normal
U50679082021PTC813206,normal
U71194072015PTC932379,normal
U45737082008PTC156575,normal
U90381072014PTC935585,normal
U90781092019PTC372900,normal
U40368082020PTC993472,normal
U23491292021PTC425393,normal
U60307292020PTC069269,normal
U24984092020PTC620929,normal
U38522272007PTC856722,normal
U55123332018PTC093625,normal
U66585272012PTC736334,normal
U30220272018PTC302484,normal
U89223242019PTC975502,normal
U45291192021PTC430795,normal
U77757332019PTC082035,normal
U53452082023PTC441468,normal
U20074292021PTC892806,normal
U40958292013PTC508474,normal
U85727292011PTC770034,normal
U44422242020PTC152201,normal
U45432332015PTC280062,normal
U81776292015PTC011092,normal
U89257072007PTC136218,normal
U43729242015PTC169834,normal
U28857082008PTC566894,normal
U14959292005PTC696890,normal
U39602072022PTC003469,normal
U80074072016PTC894795,normal
U87718192005PTC250070,normal
U37745242008PTC846310,normal
U22752272014PTC478345,normal
U28000092022PTC337212,normal
U27481092006PTC104824,normal
U37021082009PTC150039,normal
U22541072021PTC648986,normal
U90847332015PTC844265,normal
U64927092015PTC208406,normal
U28997272018PTC226666,normal
U70106072019PTC438540,normal
U66113332005PTC771940,normal
U22844242020PTC474420,normal
U70199332010PTC899597,normal
U79588242015PTC034304,normal
U24544272006PTC401558,normal
U46325242018PTC057106,normal
U20508082007PTC409661,normal
U78107272012PTC675988,normal
U32509292014PTC827608,normal
U31135292009PTC249462,normal
U79945242010PTC316209,normal
U98867272009PTC577724,normal
U12955332011PTC087650,normal
U68402272014PTC916772,normal
U53963082021PTC069328,normal
U82596242014PTC514417,normal
U95696082008PTC698261,normal
U25674332020PTC391331,normal
U16385242016PTC303937,normal
U80047272008PTC608223,normal
U90403192022PTC723154,normal
U67925272009PTC932946,normal
U96479072006PTC538422,normal
U46356072009PTC994881,normal
U22934242005PTC969128,normal
U51193242008PTC129621,normal
U39605332019PTC580823,normal
U28791072008PTC413990,normal
U86273082013PTC622488,normal
U92361082012PTC988182,normal
U96649072007PTC788120,normal
U68997072017PTC329840,normal
U98476072023PTC514383,normal
U52006272014PTC064408,normal
U56041272018PTC059192,normal
U96214272019PTC905308,normal
U75107192015PTC527192,normal
U39607092017PTC654912,normal
U62730192018PTC263471,normal
U66849242024PTC980037,normal
U64059072011PTC279902,normal
U94793242018PTC949649,normal
U57636072018PTC704300,normal
U88619072012PTC128217,normal
U43332082018PTC904817,normal
U96798092006PTC837751,normal
U11031082017PTC953984,normal
U44205072010PTC530931,normal
U62515292005PTC209795,normal
U32738292013PTC720862,normal
U70610192007PTC207898,normal
U25533082020PTC235389,normal
U11352082007PTC491659,normal
U49650092017PTC413870,normal
U25314292013PTC328487,normal
U82833082009PTC894471,normal
U67870082006PTC373839,normal
U84814272021PTC189341,normal
U30155072015PTC030278,normal
U37704092009PTC905214,normal
U37292072005PTC170856,normal
U68385192020PTC928423,normal
U94883082012PTC719572,normal
U84519242014PTC050047,normal
U24933242005PTC776488,normal
U37665272010PTC194079,normal
U49688092020PTC648544,normal
U92058192018PTC899877,normal
U61345332023PTC053396,normal
U90149242023PTC980714,normal
U67177272019PTC021818,normal
U98225242018PTC684197,normal
U40765082014PTC219607,normal
U24539082019PTC111036,normal
U75325082021PTC768137,normal
U58815072013PTC749942,normal
U29082272019PTC807563,normal
U17577292023PTC662289,normal
U94394242019PTC215099,normal
U38014272014PTC097329,legit_edge_case
U41632272014PTC872656,legit_edge_case
U56461272018PTC129828,legit_edge_case
U86230272022PTC593072,legit_edge_case
U85073272022PTC705098,legit_edge_case
U57352272022PTC476379,legit_edge_case
U72423272012PTC225218,legit_edge_case
U26662192021PTC508313,fraud_ring_A
U72043192021PTC034192,fraud_ring_A
U84942192021PTC303658,fraud_ring_A
U87283192021PTC442245,fraud_ring_A
U55698192021PTC070847,fraud_ring_A
U59454192021PTC498313,fraud_ring_A
U21706192021PTC838664,fraud_ring_A
U68077192021PTC771661,fraud_ring_A
U83537192021PTC676499,fraud_ring_A
U12486272022PTC288320,fraud_ring_B
U51999272022PTC421316,fraud_ring_B
U60070272022PTC269671,fraud_ring_B
U43496272022PTC805626,fraud_ring_B
U52636272022PTC190273,fraud_ring_B
U59219272022PTC987316,fraud_ring_B
U18579242020PTC507691,fraud_ring_C
U42285242020PTC800041,fraud_ring_C
U36667242020PTC820911,fraud_ring_C
U47912242020PTC684782,fraud_ring_C
U37886242020PTC613584,fraud_ring_C
