CIN,COMPANY_NAME,REGISTERED_OFFICE_ADDRESS,CITY,STATE,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS
U15273332023PTC800178,Shakti Chemicals Industries Pvt Ltd,"Plot 266, Road, Chennai, TN",Chennai,TN,2023-08-09,500000,498930,Active
U63955292015PTC727370,Vishwa Infrastructure Exports Pvt Ltd,"Plot 206, Colony, Bengaluru, KA",Bengaluru,KA,2015-01-15,100000,52016,Active
U57419192021PTC652879,Shakti Pharma Exports Pvt Ltd,"Plot 227, Industrial Area, Kolkata, WB",Kolkata,WB,2021-04-09,5000000,1958546,Active
U25396072019PTC679173,Continental Chemicals Industries Pvt Ltd,"Plot 367, Sector, Delhi, DL",Delhi,DL,2019-09-23,1000000,590843,Active
U27892092021PTC905998,Om Infrastructure Ventures Pvt Ltd,"Plot 213, Sector, Lucknow, UP",Lucknow,UP,2021-09-09,100000,49798,Active
U52176242019PTC911844,Universal Foods Private Limited,"Plot 293, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2019-04-28,2500000,826382,Active
U87356292021PTC348122,Pioneer Steel Ventures Pvt Ltd,"Plot 226, Industrial Area, Bengaluru, KA",Bengaluru,KA,2021-09-15,100000,80571,Active
U91691332015PTC726354,Sunrise Constructions Pvt Ltd,"Plot 169, Road, Chennai, TN",Chennai,TN,2015-09-13,1000000,738759,Active
U31805072019PTC727713,Metro Textiles Pvt Ltd,"Plot 167, Industrial Area, Delhi, DL",Delhi,DL,2019-05-12,1000000,601480,Active
U70443292012PTC668892,Prime Pharma Enterprises Pvt Ltd,"Plot 342, Industrial Area, Bengaluru, KA",Bengaluru,KA,2012-08-10,10000000,6826186,Active
U73335192017PTC111835,Global Agro Trading Co Pvt Ltd,"Plot 184, Colony, Kolkata, WB",Kolkata,WB,2017-05-23,1000000,315357,Active
U75107272024PTC873295,Everest Infrastructure Ventures Pvt Ltd,"Plot 118, Colony, Mumbai, MH",Mumbai,MH,2024-06-08,10000000,4330923,Active
U57823272023PTC767935,Bharat Steel Enterprises Pvt Ltd,"Plot 168, Road, Mumbai, MH",Mumbai,MH,2023-07-06,500000,196255,Active
U54396082014PTC843299,Jai Pharma Pvt Ltd,"Plot 73, MIDC, Jaipur, RJ",Jaipur,RJ,2014-11-24,10000000,9859595,Strike Off
U98188082016PTC785396,Vardhman Infrastructure Trading Co Pvt Ltd,"Plot 196, Road, Jaipur, RJ",Jaipur,RJ,2016-06-04,10000000,4636753,Active
U74569272014PTC121762,Jai Logistics Trading Co Pvt Ltd,"Plot 70, Estate, Mumbai, MH",Mumbai,MH,2014-08-12,10000000,9645665,Active
U90694072020PTC427941,Prime Textiles Exports Pvt Ltd,"Plot 190, MIDC, Delhi, DL",Delhi,DL,2020-08-15,500000,449407,Active
U69600192008PTC096127,Vardhman Logistics Exports Pvt Ltd,"Plot 328, Colony, Kolkata, WB",Kolkata,WB,2008-01-02,1000000,470498,Active
U29340192015PTC826953,Everest Electronics Pvt Ltd,"Plot 142, MIDC, Kolkata, WB",Kolkata,WB,2015-03-18,1000000,858959,Active
U68756072020PTC815810,Elite Plastics Trading Co Pvt Ltd,"Plot 56, Estate, Delhi, DL",Delhi,DL,2020-09-08,5000000,1651777,Active
U99928242018PTC113207,Vishwa Foods Industries Pvt Ltd,"Plot 38, Industrial Area, Ahmedabad, GJ",Ahmedabad,GJ,2018-06-20,500000,172988,Active
U69469242014PTC530109,Laxmi Agro Pvt Ltd,"Plot 360, Industrial Area, Surat, GJ",Surat,GJ,2014-11-21,5000000,4022939,Active
U22463242018PTC327731,Silver Traders Exports Pvt Ltd,"Plot 131, Sector, Ahmedabad, GJ",Ahmedabad,GJ,2018-03-22,2500000,867483,Active
U16743272018PTC301602,Laxmi Infrastructure Enterprises Pvt Ltd,"Plot 54, Colony, Pune, MH",Pune,MH,2018-09-07,500000,379857,Active
U66244092012PTC886210,Sagar Electronics Trading Co Pvt Ltd,"Plot 346, Road, Lucknow, UP",Lucknow,UP,2012-09-01,5000000,4751795,Active
U10800272016PTC190218,Pioneer Chemicals Trading Co Pvt Ltd,"Plot 337, Estate, Pune, MH",Pune,MH,2016-02-05,10000000,7432204,Active
U88148272023PTC089084,Everest Textiles Private Limited,"Plot 81, Colony, Pune, MH",Pune,MH,2023-01-22,100000,49047,Active
U55242242008PTC450798,Jai Infrastructure Exports Pvt Ltd,"Plot 348, Colony, Surat, GJ",Surat,GJ,2008-08-17,10000000,5158935,Active
U26932242010PTC398677,Sagar Foods Private Limited,"Plot 257, Colony, Ahmedabad, GJ",Ahmedabad,GJ,2010-11-26,1000000,350452,Active
U12733072017PTC340545,National Electronics Industries Pvt Ltd,"Plot 354, Sector, Delhi, DL",Delhi,DL,2017-02-14,100000,47032,Active
U20011272010PTC535281,Saraswati Steel Trading Co Pvt Ltd,"Plot 262, MIDC, Pune, MH",Pune,MH,2010-06-12,10000000,9707563,Active
U95918092009PTC079014,National Constructions Industries Pvt Ltd,"Plot 238, Colony, Lucknow, UP",Lucknow,UP,2009-10-15,10000000,9469079,Active
U67640272009PTC071604,Vishwa Pharma Exports Pvt Ltd,"Plot 156, Sector, Pune, MH",Pune,MH,2009-10-02,1000000,655135,Active
U87867072024PTC531700,Sunrise Pharma Trading Co Pvt Ltd,"Plot 284, Road, Delhi, DL",Delhi,DL,2024-01-15,5000000,3781431,Active
U78690082019PTC548142,Laxmi Chemicals Enterprises Pvt Ltd,"Plot 191, Sector, Jaipur, RJ",Jaipur,RJ,2019-07-14,1000000,775228,Active
U50662292016PTC687924,Balaji Constructions Industries Pvt Ltd,"Plot 67, Colony, Bengaluru, KA",Bengaluru,KA,2016-12-03,1000000,691245,Active
U57425242021PTC019117,Elite Infrastructure Private Limited,"Plot 110, Sector, Ahmedabad, GJ",Ahmedabad,GJ,2021-08-07,500000,499991,Active
U96760242006PTC353124,Everest Electronics Private Limited,"Plot 306, Estate, Surat, GJ",Surat,GJ,2006-03-06,500000,440970,Active
U47346082024PTC788940,Aditya Pharma Private Limited,"Plot 274, MIDC, Jaipur, RJ",Jaipur,RJ,2024-05-26,2500000,2331955,Active
U79135242021PTC438998,National Logistics Ventures Pvt Ltd,"Plot 310, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2021-05-02,10000000,6364134,Active
U67340242009PTC096169,Orion Logistics Ventures Pvt Ltd,"Plot 231, Sector, Surat, GJ",Surat,GJ,2009-01-14,100000,57751,Active
U28191332020PTC795703,Balaji Pharma Industries Pvt Ltd,"Plot 316, Industrial Area, Chennai, TN",Chennai,TN,2020-02-01,1000000,450958,Active
U65027272012PTC669990,Vishal Electronics Industries Pvt Ltd,"Plot 33, Industrial Area, Mumbai, MH",Mumbai,MH,2012-08-20,5000000,1557523,Active
U57265072021PTC070967,Ganga Plastics Trading Co Pvt Ltd,"Plot 260, Colony, Delhi, DL",Delhi,DL,2021-01-13,2500000,826185,Active
U15811272009PTC369413,Sagar Traders Ventures Pvt Ltd,"Plot 330, MIDC, Pune, MH",Pune,MH,2009-11-15,10000000,6349718,Active
U51365192006PTC978711,Metro Plastics Industries Pvt Ltd,"Plot 279, Estate, Kolkata, WB",Kolkata,WB,2006-05-02,10000000,4337724,Active
U54438082017PTC195893,Elite Plastics Enterprises Pvt Ltd,"Plot 43, Road, Jaipur, RJ",Jaipur,RJ,2017-07-03,2500000,1804293,Active
U68447332014PTC631895,Balaji Agro Private Limited,"Plot 354, Estate, Chennai, TN",Chennai,TN,2014-06-15,100000,80877,Dormant
U97973272007PTC668481,Sunrise Traders Trading Co Pvt Ltd,"Plot 384, Road, Mumbai, MH",Mumbai,MH,2007-03-01,500000,447034,Active
U60181272016PTC995589,Krishna Textiles Trading Co Pvt Ltd,"Plot 79, Road, Pune, MH",Pune,MH,2016-08-12,1000000,610757,Active
U13396192008PTC771412,National Pharma Trading Co Pvt Ltd,"Plot 199, Colony, Kolkata, WB",Kolkata,WB,2008-02-09,1000000,792826,Active
U18511272016PTC576714,Sagar Infrastructure Enterprises Pvt Ltd,"Plot 81, Road, Pune, MH",Pune,MH,2016-12-23,10000000,4218637,Active
U82616272016PTC600077,Elite Pharma Ventures Pvt Ltd,"Plot 283, MIDC, Mumbai, MH",Mumbai,MH,2016-10-03,100000,51650,Strike Off
U82260272009PTC670873,Krishna Chemicals Ventures Pvt Ltd,"Plot 67, Estate, Pune, MH",Pune,MH,2009-09-28,100000,88197,Active
U47230272021PTC887026,Om Infrastructure Private Limited,"Plot 326, Colony, Pune, MH",Pune,MH,2021-05-05,10000000,5119772,Active
U15958272007PTC994624,Saraswati Electronics Enterprises Pvt Ltd,"Plot 334, MIDC, Mumbai, MH",Mumbai,MH,2007-10-14,5000000,3736469,Active
U69446242014PTC076518,Balaji Textiles Private Limited,"Plot 226, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2014-08-15,500000,269067,Active
U71141272012PTC128474,Prime Pharma Private Limited,"Plot 73, Industrial Area, Pune, MH",Pune,MH,2012-01-10,2500000,2262286,Active
U71186082021PTC522988,Everest Infrastructure Industries Pvt Ltd,"Plot 12, Industrial Area, Jaipur, RJ",Jaipur,RJ,2021-07-17,2500000,2441701,Active
U80345082014PTC008575,Pioneer Steel Industries Pvt Ltd,"Plot 69, Sector, Jaipur, RJ",Jaipur,RJ,2014-12-12,2500000,1390390,Active
U69028242021PTC801536,Laxmi Constructions Trading Co Pvt Ltd,"Plot 61, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2021-02-13,1000000,856428,Active
U77568292024PTC146571,Royal Electronics Enterprises Pvt Ltd,"Plot 84, Estate, Bengaluru, KA",Bengaluru,KA,2024-10-24,1000000,715607,Active
U53416272016PTC706538,Jai Agro Trading Co Pvt Ltd,"Plot 158, Road, Mumbai, MH",Mumbai,MH,2016-12-21,100000,71783,Active
U32349092020PTC549698,Saraswati Foods Trading Co Pvt Ltd,"Plot 397, Estate, Lucknow, UP",Lucknow,UP,2020-03-27,10000000,4695375,Active
U75774192018PTC812618,Laxmi Pharma Ventures Pvt Ltd,"Plot 377, Road, Kolkata, WB",Kolkata,WB,2018-01-23,500000,331539,Active
U56437272022PTC708700,Shakti Foods Exports Pvt Ltd,"Plot 330, Road, Pune, MH",Pune,MH,2022-05-20,2500000,1086462,Active
U51555192020PTC503111,Elite Plastics Ventures Pvt Ltd,"Plot 370, Sector, Kolkata, WB",Kolkata,WB,2020-05-04,5000000,3868177,Active
U83664242013PTC729989,Prime Chemicals Pvt Ltd,"Plot 316, Road, Surat, GJ",Surat,GJ,2013-10-08,500000,167767,Dormant
U99285082008PTC808207,Bharat Textiles Trading Co Pvt Ltd,"Plot 81, Estate, Jaipur, RJ",Jaipur,RJ,2008-11-16,2500000,1888442,Active
U80143092012PTC774569,Aditya Textiles Private Limited,"Plot 214, MIDC, Lucknow, UP",Lucknow,UP,2012-01-27,2500000,2128931,Active
U35272082013PTC848103,Jai Traders Private Limited,"Plot 375, Estate, Jaipur, RJ",Jaipur,RJ,2013-11-09,10000000,4303393,Active
U62538272007PTC701766,Jai Chemicals Private Limited,"Plot 245, Sector, Pune, MH",Pune,MH,2007-04-01,1000000,568502,Active
U95679272013PTC377018,Balaji Logistics Pvt Ltd,"Plot 342, Industrial Area, Mumbai, MH",Mumbai,MH,2013-08-10,500000,291895,Active
U30078292020PTC477080,Aditya Electronics Enterprises Pvt Ltd,"Plot 213, Road, Bengaluru, KA",Bengaluru,KA,2020-09-16,5000000,4306982,Active
U18094092008PTC869033,Sagar Plastics Private Limited,"Plot 294, Colony, Lucknow, UP",Lucknow,UP,2008-03-06,1000000,898140,Active
U69432082006PTC138354,Ganga Agro Industries Pvt Ltd,"Plot 289, Industrial Area, Jaipur, RJ",Jaipur,RJ,2006-09-15,10000000,8648407,Active
U14159072020PTC301037,Silver Chemicals Ventures Pvt Ltd,"Plot 70, Road, Delhi, DL",Delhi,DL,2020-12-21,2500000,1405306,Active
U95660242009PTC902076,Elite Steel Private Limited,"Plot 276, Estate, Surat, GJ",Surat,GJ,2009-09-05,10000000,9851070,Active
U70375192012PTC362975,Bharat Infrastructure Private Limited,"Plot 372, Industrial Area, Kolkata, WB",Kolkata,WB,2012-01-26,10000000,5934684,Active
U40715242019PTC565980,Universal Textiles Private Limited,"Plot 258, Sector, Ahmedabad, GJ",Ahmedabad,GJ,2019-04-27,10000000,7032772,Active
U82970332006PTC994596,Krishna Foods Private Limited,"Plot 321, Road, Chennai, TN",Chennai,TN,2006-07-18,2500000,832047,Active
U49306242009PTC394748,National Plastics Industries Pvt Ltd,"Plot 124, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2009-05-28,10000000,4010462,Active
U43422242012PTC213215,Royal Constructions Pvt Ltd,"Plot 231, Sector, Ahmedabad, GJ",Ahmedabad,GJ,2012-02-18,10000000,8805843,Active
U12009272014PTC222097,Orion Logistics Exports Pvt Ltd,"Plot 61, Road, Pune, MH",Pune,MH,2014-08-08,10000000,7230810,Active
U44283272014PTC377115,Ganga Pharma Industries Pvt Ltd,"Plot 51, Road, Pune, MH",Pune,MH,2014-08-25,1000000,940031,Active
U59786272012PTC597468,Continental Logistics Industries Pvt Ltd,"Plot 282, Road, Pune, MH",Pune,MH,2012-11-11,1000000,834352,Active
U81058082010PTC672986,Shri Plastics Pvt Ltd,"Plot 39, Road, Jaipur, RJ",Jaipur,RJ,2010-01-25,100000,58867,Active
U90980272006PTC668707,Vardhman Electronics Industries Pvt Ltd,"Plot 338, Estate, Pune, MH",Pune,MH,2006-01-01,5000000,3430752,Active
U79003192024PTC264680,Continental Traders Enterprises Pvt Ltd,"Plot 204, Industrial Area, Kolkata, WB",Kolkata,WB,2024-06-13,2500000,1738753,Strike Off
U72390242022PTC058841,Saraswati Textiles Exports Pvt Ltd,"Plot 88, Industrial Area, Ahmedabad, GJ",Ahmedabad,GJ,2022-08-28,2500000,1878587,Active
U45532092020PTC048824,Orion Steel Exports Pvt Ltd,"Plot 144, Colony, Lucknow, UP",Lucknow,UP,2020-10-22,100000,42554,Active
U49226242007PTC170342,Krishna Logistics Trading Co Pvt Ltd,"Plot 200, Road, Ahmedabad, GJ",Ahmedabad,GJ,2007-09-11,2500000,2072316,Active
U89320072015PTC806361,Laxmi Electronics Industries Pvt Ltd,"Plot 397, Sector, Delhi, DL",Delhi,DL,2015-01-21,1000000,848483,Active
U21232092017PTC809677,Laxmi Infrastructure Ventures Pvt Ltd,"Plot 127, Road, Lucknow, UP",Lucknow,UP,2017-02-03,1000000,407954,Active
U66489072010PTC470647,Sagar Plastics Trading Co Pvt Ltd,"Plot 209, Industrial Area, Delhi, DL",Delhi,DL,2010-01-03,1000000,687953,Active
U49469292013PTC281445,Vishwa Chemicals Pvt Ltd,"Plot 86, Estate, Bengaluru, KA",Bengaluru,KA,2013-05-14,1000000,638961,Active
U27758082008PTC319458,Shree Agro Enterprises Pvt Ltd,"Plot 318, Estate, Jaipur, RJ",Jaipur,RJ,2008-06-15,1000000,601431,Active
U51180192020PTC186267,Sunrise Traders Enterprises Pvt Ltd,"Plot 377, Road, Kolkata, WB",Kolkata,WB,2020-11-16,5000000,4236910,Active
U81516192023PTC188668,Vardhman Plastics Pvt Ltd,"Plot 373, Estate, Kolkata, WB",Kolkata,WB,2023-12-07,2500000,2145949,Active
U96332192013PTC161631,Balaji Agro Ventures Pvt Ltd,"Plot 194, Industrial Area, Kolkata, WB",Kolkata,WB,2013-08-20,2500000,1768927,Active
U42536072008PTC689546,Vardhman Traders Private Limited,"Plot 332, Colony, Delhi, DL",Delhi,DL,2008-01-19,10000000,7742303,Active
U86089242022PTC721069,Krishna Logistics Industries Pvt Ltd,"Plot 192, Estate, Surat, GJ",Surat,GJ,2022-08-25,10000000,7120129,Active
U28569072008PTC365250,Metro Traders Industries Pvt Ltd,"Plot 106, Colony, Delhi, DL",Delhi,DL,2008-08-12,2500000,920840,Active
U54967072005PTC679446,Jai Constructions Ventures Pvt Ltd,"Plot 85, Road, Delhi, DL",Delhi,DL,2005-04-17,500000,343168,Active
U93948292010PTC689238,Silver Agro Pvt Ltd,"Plot 378, Colony, Bengaluru, KA",Bengaluru,KA,2010-04-15,5000000,3003434,Active
U79168332020PTC670154,Royal Electronics Industries Pvt Ltd,"Plot 313, Estate, Chennai, TN",Chennai,TN,2020-10-04,1000000,546389,Active
U41270272008PTC320215,Jai Chemicals Enterprises Pvt Ltd,"Plot 356, MIDC, Pune, MH",Pune,MH,2008-09-13,2500000,1793745,Active
U31871292022PTC513427,Metro Chemicals Private Limited,"Plot 162, Estate, Bengaluru, KA",Bengaluru,KA,2022-10-02,1000000,966289,Active
U64477242020PTC744639,Continental Pharma Industries Pvt Ltd,"Plot 86, Industrial Area, Ahmedabad, GJ",Ahmedabad,GJ,2020-10-01,500000,252231,Active
U76952082022PTC118711,Krishna Steel Enterprises Pvt Ltd,"Plot 397, Colony, Jaipur, RJ",Jaipur,RJ,2022-06-18,100000,83200,Active
U14224192014PTC471579,Prime Traders Ventures Pvt Ltd,"Plot 45, Estate, Kolkata, WB",Kolkata,WB,2014-02-25,500000,223457,Active
U17780192011PTC597767,Laxmi Plastics Private Limited,"Plot 166, Road, Kolkata, WB",Kolkata,WB,2011-05-10,5000000,2435700,Active
U42725292009PTC153348,Balaji Traders Ventures Pvt Ltd,"Plot 127, Road, Bengaluru, KA",Bengaluru,KA,2009-07-16,500000,352098,Active
U77582072017PTC786225,Prime Foods Enterprises Pvt Ltd,"Plot 233, Estate, Delhi, DL",Delhi,DL,2017-06-19,100000,90823,Active
U54270272014PTC573897,Krishna Chemicals Trading Co Pvt Ltd,"Plot 249, Sector, Pune, MH",Pune,MH,2014-11-25,100000,33216,Active
U95798332007PTC377944,Prime Steel Enterprises Pvt Ltd,"Plot 341, Road, Chennai, TN",Chennai,TN,2007-03-02,2500000,1844807,Active
U39647292023PTC544677,Vardhman Pharma Pvt Ltd,"Plot 5, Road, Bengaluru, KA",Bengaluru,KA,2023-06-27,100000,99170,Active
U18966292009PTC556279,Saraswati Chemicals Industries Pvt Ltd,"Plot 180, Road, Bengaluru, KA",Bengaluru,KA,2009-04-21,10000000,4059618,Active
U42477272009PTC290422,Saraswati Steel Private Limited,"Plot 284, Colony, Pune, MH",Pune,MH,2009-10-24,5000000,2497222,Dormant
U61347242011PTC309899,Saraswati Textiles Ventures Pvt Ltd,"Plot 123, Estate, Surat, GJ",Surat,GJ,2011-07-04,500000,324853,Active
U65163242023PTC383163,Sagar Constructions Private Limited,"Plot 391, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2023-02-01,5000000,1736363,Active
U65518242018PTC735902,Sunrise Steel Exports Pvt Ltd,"Plot 275, Colony, Surat, GJ",Surat,GJ,2018-10-05,1000000,358517,Active
U67342072014PTC765417,Pioneer Logistics Pvt Ltd,"Plot 126, Industrial Area, Delhi, DL",Delhi,DL,2014-07-04,2500000,1821519,Active
U43980242021PTC175074,Elite Chemicals Exports Pvt Ltd,"Plot 400, Sector, Surat, GJ",Surat,GJ,2021-12-04,100000,53450,Active
U30618292016PTC267509,Shakti Steel Trading Co Pvt Ltd,"Plot 346, Road, Bengaluru, KA",Bengaluru,KA,2016-02-08,10000000,6561774,Active
U45554242015PTC866121,Om Electronics Enterprises Pvt Ltd,"Plot 62, Colony, Ahmedabad, GJ",Ahmedabad,GJ,2015-11-02,500000,228114,Active
U52899332014PTC090582,Sagar Pharma Pvt Ltd,"Plot 189, MIDC, Chennai, TN",Chennai,TN,2014-05-19,1000000,817703,Active
U10835192009PTC977690,Silver Textiles Private Limited,"Plot 278, Sector, Kolkata, WB",Kolkata,WB,2009-11-27,10000000,9140390,Strike Off
U36895332008PTC555551,Global Agro Industries Pvt Ltd,"Plot 31, MIDC, Chennai, TN",Chennai,TN,2008-12-09,100000,33073,Active
U87580242007PTC595404,Shri Agro Exports Pvt Ltd,"Plot 67, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2007-05-09,1000000,948229,Active
U24283292023PTC162960,Jai Chemicals Industries Pvt Ltd,"Plot 239, Sector, Bengaluru, KA",Bengaluru,KA,2023-07-04,5000000,2754006,Active
U21955272009PTC745703,Global Traders Industries Pvt Ltd,"Plot 263, Industrial Area, Pune, MH",Pune,MH,2009-11-10,1000000,874062,Active
U11567292008PTC064665,Continental Logistics Private Limited,"Plot 102, Estate, Bengaluru, KA",Bengaluru,KA,2008-06-22,10000000,9563024,Active
U22055082009PTC949044,Pioneer Traders Pvt Ltd,"Plot 22, Estate, Jaipur, RJ",Jaipur,RJ,2009-01-06,5000000,3016047,Active
