CIN,Company_Name,ROC_Code,Registration_Number,Company_Category,Company_SubCategory,Class_of_Company,Date_of_Incorporation,Registered_Address,Registered_State,Registered_Pincode,Email_Id,Whether_Listed,Company_Status,Authorized_Capital_Rs,Paid_up_Capital_Rs,Date_of_Last_AGM,Date_of_Balance_Sheet,Industrial_Activity_Code,Industrial_Activity_Description,Synthetic_Ring_ID,Synthetic_Shell_Ground_Truth
U63990GJ2009PLC100140,Shree Foods Limited,ROC-AHMEDABAD,100141,Company limited by Shares,Non-govt company,Public,09/07/2009,"152, Complex, Ashirwad Road, Ahmedabad, Gujarat - 380077",Gujarat,380077,shree56@gmail.com,Unlisted,Active,200000,134075,01/07/2025,31/03/2025,63990,Other information service activities n.e.c.,,No
U74999MH2013PTC100622,Vantage Logistics Private Limited,ROC-PUNE,100623,Company limited by Shares,Non-govt company,Private,01/05/2013,"475, Mall, Silver Road, Pune, Maharashtra - 411058",Maharashtra,411058,vantage81@gmail.com,Unlisted,Active,2000000,1550601,24/11/2025,31/03/2025,74999,Other business support service activities n.e.c.,,No
U14101WB2016PTC100500,Everest Infra Private Limited,ROC-KOLKATA,100501,Company limited by Shares,Non-govt company,Private,11/08/2016,"787, Complex, Ashirwad Chowk, Kolkata, West Bengal - 700034",West Bengal,700034,everest97@gmail.com,Unlisted,Active,1000000,639261,07/12/2024,31/03/2024,14101,Manufacture of wearing apparel,,No
U68100KA2006PTC100371,Pioneer Merchants Private Limited,ROC-BANGALORE,100372,Company limited by Shares,Non-govt company,Private,12/03/2006,"142, Heights, Pioneer Street, Bengaluru, Karnataka - 560021",Karnataka,560021,pioneer44@gmail.com,Unlisted,Active,500000,251272,09/07/2026,31/03/2026,68100,Real estate activities with own/leased property,,No
U46310WB2025PTC100199,Trident Ventures Private Limited,ROC-KOLKATA,100200,Company limited by Shares,Non-govt company,Private,01/03/2025,"39, House, National Marg, Kolkata, West Bengal - 700052",West Bengal,700052,trident54@gmail.com,Unlisted,Active,5000000,3940581,10/12/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U10610MH2007PTC100688,Ganesh Merchants Private Limited,ROC-MUMBAI,100689,Company limited by Shares,Non-govt company,Private,28/03/2007,"637, Mall, Rudra Chowk, Mumbai, Maharashtra - 400022",Maharashtra,400022,ganesh91@gmail.com,Unlisted,Active,200000,115956,02/07/2025,31/03/2026,10610,Manufacture of grain mill products,,No
U45201PB2025PTC100585,Vishwa Textiles Private Limited,ROC-CHANDIGARH,100586,Company limited by Shares,Non-govt company,Private,17/11/2025,"630, Mall, Apex Road, Chandigarh, Punjab - 160020",Punjab,160020,vishwa66@gmail.com,Unlisted,Active,2000000,1943714,25/12/2025,31/03/2026,45201,Maintenance and repair of motor vehicles,,No
U46900TG2016PTC100902,National Services Private Limited,ROC-HYDERABAD,100903,Company limited by Shares,Non-govt company,Private,09/05/2016,"74, Heights, Horizon Layout, Hyderabad, Telangana - 500040",Telangana,500040,national57@gmail.com,Unlisted,Active,500000,252026,01/11/2025,31/03/2025,46900,Wholesale trade (non-specialized),,No
U47190TN2022PTC100060,Emerald Impex Private Limited,ROC-CHENNAI,100061,Company limited by Shares,Non-govt company,Private,24/01/2023,"470, Plaza, Om Layout, Chennai, Tamil Nadu - 600061",Tamil Nadu,600061,emerald57@rediffmail.com,Unlisted,Active - Non-compliant,20000000,500000,,,47190,Other retail sale in non-specialized stores,RING-09,Yes
U45201PB2011PTC100329,Vardhan Chemicals Private Limited,ROC-CHANDIGARH,100330,Company limited by Shares,Non-govt company,Private,03/11/2011,"500, Plaza, Continental Marg, Chandigarh, Punjab - 160088",Punjab,160088,vardhan68@gmail.com,Unlisted,Active,5000000,3788822,28/11/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
U64990MH2021PTC100097,Lakshmi Agro Private Limited,ROC-MUMBAI,100098,Company limited by Shares,Non-govt company,Private,10/09/2021,"141, Heights, Trident Layout, Mumbai, Maharashtra - 400029",Maharashtra,400029,lakshmi21@rediffmail.com,Unlisted,Under Process of Striking Off,100000000,500000,,,64990,Other financial service activities n.e.c.,RING-14,Yes
U52290MH2014PTC100313,Global Industries Private Limited,ROC-MUMBAI,100314,Company limited by Shares,Non-govt company,Private,16/05/2014,"191, Complex, Metro Layout, Mumbai, Maharashtra - 400033",Maharashtra,400033,global74@gmail.com,Unlisted,Active,1000000,827260,12/08/2026,31/03/2026,52290,Other transportation support activities,,No
U45201WB2009PLC100975,Ganesh Investments Limited,ROC-KOLKATA,100976,Company limited by Shares,Non-govt company,Public,11/09/2009,"802, House, Superior Colony, Kolkata, West Bengal - 700067",West Bengal,700067,ganesh74@gmail.com,Unlisted,Dormant,2000000,1515724,23/11/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
U64990UP2013PTC100300,Vardhan Overseas Private Limited,ROC-KANPUR,100301,Company limited by Shares,Non-govt company,Private,21/07/2013,"584, Mall, Vishwa Chowk, Kanpur, Uttar Pradesh - 208021",Uttar Pradesh,208021,vardhan31@gmail.com,Unlisted,Active,1000000,531854,11/07/2025,31/03/2025,64990,Other financial service activities n.e.c.,,No
U46310MH2021PTC100278,Krishna Constructions Private Limited,ROC-PUNE,100279,Company limited by Shares,Non-govt company,Private,07/04/2021,"96, Arcade, Meridian Colony, Pune, Maharashtra - 411091",Maharashtra,411091,krishna30@gmail.com,Unlisted,Active,5000000,4699689,07/09/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U64990TN2012PTC100925,Orion Technologies Private Limited,ROC-CHENNAI,100926,Company limited by Shares,Non-govt company,Private,22/08/2012,"171, Heights, Continental Chowk, Chennai, Tamil Nadu - 600028",Tamil Nadu,600028,orion77@gmail.com,Unlisted,Active,100000,55822,09/07/2024,31/03/2024,64990,Other financial service activities n.e.c.,,No
U41001GJ2020PTC100602,Global Textiles Private Limited,ROC-AHMEDABAD,100603,Company limited by Shares,Non-govt company,Private,10/04/2020,"987, House, Rudra Chowk, Ahmedabad, Gujarat - 380032",Gujarat,380032,global44@gmail.com,Unlisted,Active,500000,344210,24/11/2025,31/03/2026,41001,Construction of residential/commercial buildings,,No
U68100WB2013PTC100440,Capital Industries Private Limited,ROC-KOLKATA,100441,Company limited by Shares,Non-govt company,Private,26/01/2013,"985, Tower, Continental Colony, Kolkata, West Bengal - 700049",West Bengal,700049,capital18@gmail.com,Unlisted,Dormant,500000,377183,13/10/2025,31/03/2026,68100,Real estate activities with own/leased property,,No
U68100DL2023PTC100838,Rudra Infra Private Limited,ROC-DELHI,100839,Company limited by Shares,Non-govt company,Private,12/12/2023,"296, Chambers, Continental Layout, New Delhi, Delhi - 110021",Delhi,110021,rudra86@gmail.com,Unlisted,Active,500000,399468,11/08/2026,31/03/2026,68100,Real estate activities with own/leased property,,No
U46310UP2007PTC100571,Skyline Traders Private Limited,ROC-KANPUR,100572,Company limited by Shares,Non-govt company,Private,06/04/2007,"311, Chambers, Falcon Street, Kanpur, Uttar Pradesh - 208040",Uttar Pradesh,208040,skyline31@gmail.com,Unlisted,Active,1000000,899701,21/07/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U46900HR2011PTC100880,Bharat Services Private Limited,ROC-CHANDIGARH,100881,Company limited by Shares,Non-govt company,Private,30/09/2011,"723, Mall, Emerald Street, Gurugram, Haryana - 122058",Haryana,122058,bharat48@gmail.com,Unlisted,Dormant,200000,133043,28/09/2024,31/03/2024,46900,Wholesale trade (non-specialized),,No
U47190RJ2025PTC100262,Suvidha Finance Private Limited,ROC-JAIPUR,100263,Company limited by Shares,Non-govt company,Private,04/05/2025,"633, House, Lakshmi Chowk, Jaipur, Rajasthan - 302029",Rajasthan,302029,suvidha21@gmail.com,Unlisted,Active,1000000,599133,13/07/2026,31/03/2026,47190,Other retail sale in non-specialized stores,,No
U46310DL2009PTC100579,Vinayak Investments Private Limited,ROC-DELHI,100580,Company limited by Shares,Non-govt company,Private,23/12/2009,"631, Heights, Infinity Layout, New Delhi, Delhi - 110082",Delhi,110082,vinayak91@gmail.com,Unlisted,Active,5000000,4666135,01/07/2026,31/03/2026,46310,Wholesale of agricultural raw materials,,No
U41001UP2024PTC100024,Pioneer Chemicals Private Limited,ROC-KANPUR,100025,Company limited by Shares,Non-govt company,Private,03/07/2024,"309, House, Falcon Marg, Kanpur, Uttar Pradesh - 208048",Uttar Pradesh,208048,pioneer41@rediffmail.com,Unlisted,Active,10000000,500000,18/01/2020,31/03/2020,41001,Construction of residential/commercial buildings,RING-04,Yes
U82990TG2022PTC100031,Vikram Solutions Private Limited,ROC-HYDERABAD,100032,Company limited by Shares,Non-govt company,Private,06/10/2022,"336, Chambers, Platinum Colony, Hyderabad, Telangana - 500053",Telangana,500053,vikram68@rediffmail.com,Unlisted,Active - Non-compliant,50000000,100000,,,82990,Other business support activities n.e.c.,RING-05,Yes
U70200KA2011PTC100618,Aastha Infra Private Limited,ROC-BANGALORE,100619,Company limited by Shares,Non-govt company,Private,26/06/2011,"503, Mall, Elite Street, Bengaluru, Karnataka - 560052",Karnataka,560052,aastha51@gmail.com,Unlisted,Dormant,2000000,1698889,13/07/2026,31/03/2026,70200,Management consultancy activities,,No
U82990RJ2019PTC100011,Vantage Chemicals Private Limited,ROC-JAIPUR,100012,Company limited by Shares,Non-govt company,Private,22/09/2019,"935, Tower, Vishwa Chowk, Jaipur, Rajasthan - 302091",Rajasthan,302091,vantage64@rediffmail.com,Unlisted,Active,20000000,150000,,,82990,Other business support activities n.e.c.,RING-02,Yes
U10610TG2005PTC100222,Orion Developers Private Limited,ROC-HYDERABAD,100223,Company limited by Shares,Non-govt company,Private,07/11/2005,"146, Arcade, Platinum Road, Hyderabad, Telangana - 500076",Telangana,500076,orion88@gmail.com,Unlisted,Active,1000000,852441,03/12/2025,31/03/2025,10610,Manufacture of grain mill products,,No
U47190KA2025PLC100821,Shakti Retail Limited,ROC-BANGALORE,100822,Company limited by Shares,Non-govt company,Public,20/08/2025,"349, Plaza, Continental Street, Bengaluru, Karnataka - 560094",Karnataka,560094,shakti70@gmail.com,Unlisted,Active,5000000,3628399,14/12/2025,31/03/2025,47190,Other retail sale in non-specialized stores,,No
U63990WB2013PTC100297,Diamond Consultancy Private Limited,ROC-KOLKATA,100298,Company limited by Shares,Non-govt company,Private,30/03/2013,"78, Heights, National Chowk, Kolkata, West Bengal - 700074",West Bengal,700074,diamond75@gmail.com,Unlisted,Active,1000000,658510,21/09/2025,31/03/2026,63990,Other information service activities n.e.c.,,No
U64990HR2024PTC100055,Infinity Systems Private Limited,ROC-CHANDIGARH,100056,Company limited by Shares,Non-govt company,Private,02/02/2024,"691, House, Falcon Colony, Gurugram, Haryana - 122021",Haryana,122021,infinity28@rediffmail.com,Unlisted,Active - Non-compliant,20000000,200000,28/05/2023,31/03/2023,64990,Other financial service activities n.e.c.,RING-08,Yes
U74999KA2023PLC100543,Capital Infra Limited,ROC-BANGALORE,100544,Company limited by Shares,Non-govt company,Public,25/06/2023,"405, Chambers, Apex Road, Bengaluru, Karnataka - 560021",Karnataka,560021,capital22@gmail.com,Unlisted,Active,200000,182852,04/12/2025,31/03/2025,74999,Other business support service activities n.e.c.,,No
U64990TN2023PTC100210,Shakti Investments Private Limited,ROC-CHENNAI,100211,Company limited by Shares,Non-govt company,Private,06/07/2023,"875, Plaza, Aastha Chowk, Chennai, Tamil Nadu - 600052",Tamil Nadu,600052,shakti21@gmail.com,Unlisted,Active,100000,59241,05/07/2025,31/03/2025,64990,Other financial service activities n.e.c.,,No
U45201TN2005PTC100605,Diamond Merchants Private Limited,ROC-CHENNAI,100606,Company limited by Shares,Non-govt company,Private,10/06/2005,"276, Tower, Royal Marg, Chennai, Tamil Nadu - 600092",Tamil Nadu,600092,diamond60@gmail.com,Unlisted,Active,5000000,2615193,14/10/2024,31/03/2024,45201,Maintenance and repair of motor vehicles,,No
U45201TN2012PTC100693,Global Developers Private Limited,ROC-CHENNAI,100694,Company limited by Shares,Non-govt company,Private,03/03/2012,"720, Arcade, Anmol Nagar, Chennai, Tamil Nadu - 600042",Tamil Nadu,600042,global71@gmail.com,Unlisted,Active,2000000,1581442,25/10/2025,31/03/2026,45201,Maintenance and repair of motor vehicles,,No
U46900KA2007PTC100663,Orion Chemicals Private Limited,ROC-BANGALORE,100664,Company limited by Shares,Non-govt company,Private,01/03/2007,"564, Plaza, Continental Street, Bengaluru, Karnataka - 560063",Karnataka,560063,orion88@gmail.com,Unlisted,Active,500000,407952,08/11/2025,31/03/2026,46900,Wholesale trade (non-specialized),,No
U10610HR2023PTC100867,Anmol Solutions Private Limited,ROC-CHANDIGARH,100868,Company limited by Shares,Non-govt company,Private,04/09/2023,"59, Heights, Silver Street, Gurugram, Haryana - 122023",Haryana,122023,anmol72@gmail.com,Unlisted,Active,1000000,947195,20/11/2025,31/03/2025,10610,Manufacture of grain mill products,,No
U52290RJ2021PTC100071,Elite Enterprises Private Limited,ROC-JAIPUR,100072,Company limited by Shares,Non-govt company,Private,23/10/2021,"536, Complex, Superior Colony, Jaipur, Rajasthan - 302046",Rajasthan,302046,elite28@rediffmail.com,Unlisted,Active,100000000,100000,17/08/2021,31/03/2021,52290,Other transportation support activities,RING-11,Yes
U45201TG2006PTC100544,Krishna Distributors Private Limited,ROC-HYDERABAD,100545,Company limited by Shares,Non-govt company,Private,19/11/2006,"473, House, Ashirwad Marg, Hyderabad, Telangana - 500011",Telangana,500011,krishna33@gmail.com,Unlisted,Active,2000000,1761353,04/10/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
U46900TN2023PTC100108,Anmol Infra Private Limited,ROC-CHENNAI,100109,Company limited by Shares,Non-govt company,Private,05/06/2023,"387, Plaza, Royal Lane, Chennai, Tamil Nadu - 600085",Tamil Nadu,600085,anmol35@rediffmail.com,Unlisted,Active,20000000,150000,05/05/2020,31/03/2020,46900,Wholesale trade (non-specialized),RING-16,Yes
U47190DL2014PTC100494,Krishna Agro Private Limited,ROC-DELHI,100495,Company limited by Shares,Non-govt company,Private,28/07/2014,"397, Complex, Ashirwad Nagar, New Delhi, Delhi - 110015",Delhi,110015,krishna48@gmail.com,Unlisted,Active,5000000,2886990,01/08/2025,31/03/2026,47190,Other retail sale in non-specialized stores,,No
U46900MH2019PTC100591,Shakti Exports Private Limited,ROC-PUNE,100592,Company limited by Shares,Non-govt company,Private,03/08/2019,"866, Tower, Trident Layout, Pune, Maharashtra - 411018",Maharashtra,411018,shakti76@gmail.com,Unlisted,Active,200000,169701,13/10/2024,31/03/2024,46900,Wholesale trade (non-specialized),,No
U46310HR2015PTC100742,Vinayak Merchants Private Limited,ROC-CHANDIGARH,100743,Company limited by Shares,Non-govt company,Private,14/06/2015,"278, Chambers, Vinayak Road, Gurugram, Haryana - 122053",Haryana,122053,vinayak92@gmail.com,Unlisted,Active,2000000,1111646,21/10/2025,31/03/2026,46310,Wholesale of agricultural raw materials,,No
U74999UP2017PTC100293,Vaibhav Foods Private Limited,ROC-KANPUR,100294,Company limited by Shares,Non-govt company,Private,12/09/2017,"225, Plaza, Vishwa Lane, Kanpur, Uttar Pradesh - 208098",Uttar Pradesh,208098,vaibhav39@gmail.com,Unlisted,Active,2000000,1299631,16/07/2025,31/03/2026,74999,Other business support service activities n.e.c.,,No
U74999WB2010PTC100290,Nova Realty Private Limited,ROC-KOLKATA,100291,Company limited by Shares,Non-govt company,Private,07/05/2010,"615, Mall, Vikram Road, Kolkata, West Bengal - 700090",West Bengal,700090,nova67@gmail.com,Unlisted,Active,100000,91081,25/07/2026,31/03/2026,74999,Other business support service activities n.e.c.,,No
U14101TN2019PLC100653,Global Merchants Limited,ROC-CHENNAI,100654,Company limited by Shares,Non-govt company,Public,28/05/2019,"806, Complex, Nova Marg, Chennai, Tamil Nadu - 600059",Tamil Nadu,600059,global56@gmail.com,Unlisted,Active,5000000,3737980,20/07/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U10610MH2019PTC100040,Apex Commodities Private Limited,ROC-PUNE,100041,Company limited by Shares,Non-govt company,Private,14/01/2019,"411, Mall, Royal Marg, Pune, Maharashtra - 411029",Maharashtra,411029,apex93@rediffmail.com,Unlisted,Active - Non-compliant,10000000,200000,17/08/2020,31/03/2020,10610,Manufacture of grain mill products,RING-06,Yes
U82990PB2008PTC100590,Vikram Finance Private Limited,ROC-CHANDIGARH,100591,Company limited by Shares,Non-govt company,Private,30/08/2008,"350, Complex, Vertex Marg, Chandigarh, Punjab - 160042",Punjab,160042,vikram51@gmail.com,Unlisted,Active,200000,171473,01/10/2025,31/03/2026,82990,Other business support activities n.e.c.,,No
U46900TN2019PTC100308,Metro Impex Private Limited,ROC-CHENNAI,100309,Company limited by Shares,Non-govt company,Private,27/05/2019,"138, Arcade, Sunrise Marg, Chennai, Tamil Nadu - 600076",Tamil Nadu,600076,metro63@gmail.com,Unlisted,Active,200000,192340,11/12/2025,31/03/2025,46900,Wholesale trade (non-specialized),,No
